username,password,first_name,last_name
admin,89e75b508ed2f427545cbb1888e597a4561c5018a1c76c1c5803dc112c0aca2d,Mister,Sparkles
rjohnson,5c1a3de8e2f8123e36b632385b5808b010dad352dfea45e173a91b93e7bcfb22,Robert,Johnson
pdavis,9fb4ad5b2647cf201f22f92c19c7d6b0ecdc86b920ef7af8224b22565e33d425,Patricia,Davis
mwilliams,c82e0c9f943aa6c47ad3e34e6d95b480061a35a3147e693bd21267d3c6008a1c,Michael,Williams
dsmith,d72a20c4e3a269e9a655e6b23b02513b1d0b9e793e3f9ce4f42e5efd2750464e,David,Smith
rhernandez,97760c6c3acee21393d51420d67e0d093384498378f2f153250953849723e08e,Richard,Hernandez
wrodrigues,cdd8987ef3f18af897753a17d77b67bf46178993d6ce0beff91515f1311ecee6,William,Rodrigues
jmartinez,a78ba146924214158bba302e3556fab9be63d41bf20d08f950028dff5833bb79,James,Martinez
ljones,16cc2d49068f13e628af611dbcfc7fa6277318b0f0741654eb00e8b300d1300b,Linda,Jones
jgarcia,d36b80978960406a0ae4d27ef22d262c6926e7d920f2c17b91aeb4f1108e0a2a,Jennifer,Garcia
